experiment,round,client_id,loss,lambda
baseline,1,1,0.4775660465462039,0.0
baseline,1,2,0.4692244039276453,0.0
baseline,1,3,0.4832346565058442,0.0
baseline,1,4,0.4497702050729086,0.0
baseline,2,1,0.4070775885172564,0.0
baseline,2,2,0.3896456105033243,0.0
baseline,2,3,0.4212043473915178,0.0
baseline,2,4,0.414736413615662,0.0
baseline,3,1,0.4059704731811177,0.0
baseline,3,2,0.3758017211917817,0.0
baseline,3,3,0.4119330441870657,0.0
baseline,3,4,0.381520503219342,0.0
baseline,4,1,0.3839201039136058,0.0
baseline,4,2,0.3582669818025874,0.0
baseline,4,3,0.3883847273936888,0.0
baseline,4,4,0.3546501713111096,0.0
baseline,5,1,0.3746123801578175,0.0
baseline,5,2,0.3553128514702864,0.0
baseline,5,3,0.3862138122928386,0.0
baseline,5,4,0.3749903199456682,0.0
baseline,6,1,0.3885559301183681,0.0
baseline,6,2,0.3622862283639081,0.0
baseline,6,3,0.3966398529049491,0.0
baseline,6,4,0.3677927833675538,0.0
baseline,7,1,0.3688112503350383,0.0
baseline,7,2,0.346286272439431,0.0
baseline,7,3,0.3767828022947116,0.0
baseline,7,4,0.3548359492881186,0.0
baseline,8,1,0.3708072674996925,0.0
baseline,8,2,0.3465688658042217,0.0
baseline,8,3,0.380853863800464,0.0
baseline,8,4,0.3508162042438584,0.0
baseline,9,1,0.3668542498289937,0.0
baseline,9,2,0.3438795535113867,0.0
baseline,9,3,0.3783433331924231,0.0
baseline,9,4,0.3515675664948137,0.0
baseline,10,1,0.3672348209703811,0.0
baseline,10,2,0.3431541811762832,0.0
baseline,10,3,0.3646407313898307,0.0
baseline,10,4,0.3501315911444241,0.0
baseline,11,1,0.3674310797994787,0.0
baseline,11,2,0.3419029893368248,0.0
baseline,11,3,0.3656759043129123,0.0
baseline,11,4,0.3353714988935714,0.0
baseline,12,1,0.3473166146061637,0.0
baseline,12,2,0.326672597663609,0.0
baseline,12,3,0.3588776645206269,0.0
baseline,12,4,0.348917056300096,0.0
baseline,13,1,0.3720009107180316,0.0
baseline,13,2,0.3490179535441511,0.0
baseline,13,3,0.3620159287436479,0.0
baseline,13,4,0.3513010210238847,0.0
baseline,14,1,0.3649688883863314,0.0
baseline,14,2,0.3430147255499532,0.0
baseline,14,3,0.375828459554789,0.0
baseline,14,4,0.3514088957301722,0.0
baseline,15,1,0.3628971414132552,0.0
baseline,15,2,0.3428611332975973,0.0
baseline,15,3,0.3733778087054791,0.0
baseline,15,4,0.3490306412013585,0.0
baseline,16,1,0.3649996790018948,0.0
baseline,16,2,0.3421518624298216,0.0
baseline,16,3,0.3742758522228319,0.0
baseline,16,4,0.3491568607371925,0.0
baseline,17,1,0.3631952444110254,0.0
baseline,17,2,0.3420596857239881,0.0
baseline,17,3,0.3753812278614563,0.0
baseline,17,4,0.3481713211376395,0.0
baseline,18,1,0.3625940078436726,0.0
baseline,18,2,0.3409521169080509,0.0
baseline,18,3,0.3734476205443038,0.0
baseline,18,4,0.3481014977965579,0.0
baseline,19,1,0.3629121732230138,0.0
baseline,19,2,0.3403113829338644,0.0
baseline,19,3,0.3735446007478805,0.0
baseline,19,4,0.3467755272684481,0.0
baseline,20,1,0.3632839882012569,0.0
baseline,20,2,0.3418903254617856,0.0
baseline,20,3,0.372523915808217,0.0
baseline,20,4,0.3484037526501905,0.0
